"IP";"Name";"Mac Address";"Comment"
"172.17.19.1";"LEN1419";"44-39-C4-55-27-E5";""
"172.17.19.2";"LEN1420";"44-39-C4-55-29-71";""
"172.17.19.3";"LEN1421";"44-39-C4-55-28-D8";""
"172.17.19.4";"LEN1422";"44-39-C4-55-29-6B";""
"172.17.19.5";"LEN1423";"44-39-C4-55-29-44";""
"172.17.19.6";"LEN1424";"44-39-C4-55-23-E3";""
"172.17.19.7";"LEN1425";"44-39-C4-55-28-09";""
"172.17.19.8";"LEN1426";"44-39-C4-55-26-64";""
"172.17.19.9";"LEN1427";"44-39-C4-55-29-6D";""
"172.17.19.10";"LEN1428";"44-39-C4-55-29-63";""
"172.17.19.11";"LEN1429";"44-39-C4-55-29-59";""
"172.17.19.12";"LEN1430";"44-39-C4-55-29-58";""
"172.17.19.13";"LEN1431";"44-39-C4-55-26-5D";""
"172.17.19.14";"LEN1432";"44-39-C4-55-27-D9";""
"172.17.19.15";"LEN1433";"44-39-C4-55-28-12";""
"172.17.19.16";"LEN1434";"44-39-C4-55-28-18";""
"172.17.19.17";"LEN1435";"44-39-C4-55-23-DC";""
"172.17.19.18";"LEN1436";"44-39-C4-55-29-47";""
