"IP";"Name";"MAC Address";"Comment"
"172.17.17.1";"LEN1401";"44-39-C4-55-29-08";"Modele  017-019-026 2017-2018"
"172.17.17.2";"LEN1402";"44-39-C4-55-28-28";"Modele  017-019-026 2017-2018"
"172.17.17.3";"LEN1403";"44-39-C4-55-29-3C";"Modele  017-019-026 2017-2018"
"172.17.17.4";"LEN1404";"44-39-C4-55-26-45";"Modele  017-019-026 2017-2018"
"172.17.17.5";"LEN1405";"44-39-C4-55-24-04";"Modele  017-019-026 2017-2018"
"172.17.17.6";"LEN1406";"44-39-C4-55-29-72";"Modele  017-019-026 2017-2018"
"172.17.17.7";"LEN1407";"44-39-C4-55-28-40";"Modele  017-019-026 2017-2018"
"172.17.17.8";"LEN1408";"44-39-C4-55-29-06";"Modele	 017-019-026 2017-2018"
"172.17.17.9";"LEN1409";"44-39-C4-55-26-A3";"Modele  017-019-026 2017-2018"
"172.17.17.10";"LEN1410";"44-39-C4-55-29-39";"Modele  017-019-026 2017-2018"
"172.17.17.11";"LEN1411";"44-39-C4-55-26-6D";"Modele  017-019-026 2017-2018"
"172.17.17.12";"LEN1412";"44-39-C4-55-29-38";"Modele  017-019-026 2017-2018"
"172.17.17.13";"LEN1413";"44-39-C4-55-29-60";"Modele  017-019-026 2017-2018"
"172.17.17.14";"LEN1414";"44-39-C4-55-24-00";"Modele  017-019-026 2017-2018"
"172.17.17.15";"LEN1415";"44-39-C4-55-29-49";"Modele  017-019-026 2017-2018"
"172.17.17.16";"LEN1416";"44-39-C4-55-29-2F";"Modele  017-019-026 2017-2018"
"172.17.17.17";"LEN1417";"44-39-C4-55-27-76";"Modele  017-019-026 2017-2018"
"172.17.17.18";"LEN1418";"44-39-C4-55-29-53";"Modele  017-019-026 2017-2018"
